Rank-Avg	Elev-Avg	Rank-Prov	Elev-Prov	Rank-Opt	Elev-Opt	Name	Quad	Map1	Map2	Map3	Map4	Map5
1	6288	1	6288	1	6288	"Washington, Mount"	Mount Washington	https://listsofjohn.com/peak/16687				
2	5774	2	5774	2	5774	"Adams, Mount"	Mount Washington	https://listsofjohn.com/peak/100546				
3	5712	3	5712	3	5712	"Jefferson, Mount"	Mount Washington	https://listsofjohn.com/peak/100547				
4	5384	4	5374	4	5393	"Monroe, Mount"	Mount Washington	https://listsofjohn.com/peak/100555				
5	5367	5	5367	5	5367	"Madison, Mount"	Mount Washington	https://listsofjohn.com/peak/100553				
6	5260	6	5240	6	5279	"Lafayette, Mount"	Franconia	https://listsofjohn.com/peak/16909				
	5089		5089	7	5089	"Lincoln, Mount"	Franconia	https://listsofjohn.com/peak/100557				
7	4902	7	4902	8	4902	South Twin Mountain	South Twin Mountain	https://listsofjohn.com/peak/100560				
8	4832	8	4832	10	4832	Carter Dome	Carter Dome	https://listsofjohn.com/peak/17087				
9	4820	9	4800	9	4839	"Moosilauke, Mount"	Mount Moosilauke	https://listsofjohn.com/peak/17035				
10	4780	11	4760	11	4799	"Eisenhower, Mount"	Stairs Mountain	https://listsofjohn.com/peak/100561				
11	4761	10	4761	12	4761	North Twin Mountain	South Twin Mountain	https://listsofjohn.com/peak/100563				
12	4700	13	4680	13	4719	"Carrigain, Mount"	Mount Carrigain	https://listsofjohn.com/peak/17439				
13	4698	12	4698	14	4698	"Bond, Mount"	South Twin Mountain	https://listsofjohn.com/peak/100564				
14	4610	14	4600	15	4619	Middle Carter Mountain	Carter Dome	https://listsofjohn.com/peak/100566				
15	4580		4560	16	4599	"Guyot, Mount"	South Twin Mountain	https://listsofjohn.com/peak/100567	https://listsofjohn.com/mapf?lat=44.1661&lon=-71.5365&z=16&t=u&d=y			
16	4540		4520	17	4559	West Bond	South Twin Mountain	https://listsofjohn.com/peak/102546				
17	4500	15	4480	18	4519	"Garfield, Mount"	South Twin Mountain	https://listsofjohn.com/peak/100571				
18	4459	16	4459	19	4459	"Liberty, Mount"	Lincoln	https://listsofjohn.com/peak/100572				
19	4430	18	4420	21	4439	South Carter Mountain	Carter Dome	https://listsofjohn.com/peak/100573	https://listsofjohn.com/mapf?lat=44.2896&lon=-71.1768&z=16&t=u&d=r			
20	4422	17	4422	22	4422	Wildcat Mountain	Carter Dome	https://listsofjohn.com/peak/100574				
21	4420	19	4400	20	4439	"Hancock, Mount"	Mount Carrigain	https://listsofjohn.com/peak/100575				
22	4358	20	4358	25	4358	Kinsman Mountain-South Peak	Lincoln	https://listsofjohn.com/peak/17301				
23	4340	22	4320	23	4359	"Field, Mount"	Crawford Notch	https://listsofjohn.com/peak/100577				
24	4340	23	4320	24	4359	"Osceola, Mount"	Mount Osceola	https://listsofjohn.com/peak/17663				
25	4328	21	4328	26	4328	"Flume, Mount"	Lincoln	https://listsofjohn.com/peak/100578				
26	4310	24	4310	27	4310	"Pierce, Mount"	Stairs Mountain	https://listsofjohn.com/peak/100580				
27	4293	25	4293	28	4293	Kinsman Mountain-North Peak	Franconia	https://listsofjohn.com/peak/100581				
28	4285	26	4285	29	4285	"Willey, Mount"	Crawford Notch	https://listsofjohn.com/peak/100585				
29	4265		4265	31	4265	"Cliffs, The"	South Twin Mountain	https://listsofjohn.com/peak/100583				
30	4260	27	4240	30	4279	Zealand Ridge	South Twin Mountain	https://listsofjohn.com/peak/100584				
31	4180	29	4160	32	4199	"Tripyramid, Mount-North Peak"	Mount Tripyramid	https://listsofjohn.com/peak/100586				
32	4170	28	4160	33	4179	"Cabot, Mount"	Stark	https://listsofjohn.com/peak/17153	https://listsofjohn.com/mapf?lat=44.5065&lon=-71.4146&z=16&t=u&d=r			
33	4156	30	4156	35	4156	Osceola - East Peak	Mount Osceola	https://listsofjohn.com/peak/100588				
34	4140	31	4120	34	4159	"Tripyramid, Mount-Middle Peak"	Mount Tripyramid	https://listsofjohn.com/peak/100589				
35	4100	32	4080	36	4119	Cannon Mountain	Franconia	https://listsofjohn.com/peak/100593				
36	4070	33	4060	37	4079	Wildcat Ridge - D peak	Jackson	https://listsofjohn.com/peak/100592				
37	4054	34	4054	38	4054	"Hale, Mount"	South Twin Mountain	https://listsofjohn.com/peak/100594				
38	4052	35	4052	39	4052	"Jackson, Mount"	Crawford Notch	https://listsofjohn.com/peak/100595				
